Sequence:1 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.6e-30 | Cond.E-value:4.2e-34 | Bit score:104.8
Sequence:151 | Start:9 | End:76 | ID:PF13873.13 | Description:Myb/SANT-like DNA-binding domain | E-value:1.6e-05 | Cond.E-value:2.5e-09 | Bit score:25.2
Sequence:152 | Start:4 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-32 | Cond.E-value:8.1e-37 | Bit score:113.0
Sequence:153 | Start:4 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-20 | Cond.E-value:1.6e-24 | Bit score:74.3
Sequence:154 | Start:4 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-25 | Cond.E-value:1.9e-29 | Bit score:88.2
Sequence:155 | Start:13 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-40 | Cond.E-value:9.9e-45 | Bit score:138.6
Sequence:156 | Start:19 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-24 | Cond.E-value:6.1e-29 | Bit score:86.6
Sequence:157 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-29 | Cond.E-value:5.4e-34 | Bit score:102.9
Sequence:158 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-23 | Cond.E-value:1.3e-27 | Bit score:82.3
Sequence:159 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-23 | Cond.E-value:6.1e-28 | Bit score:83.4
Sequence:160 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-23 | Cond.E-value:1.3e-27 | Bit score:82.3
Sequence:161 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-23 | Cond.E-value:1.3e-27 | Bit score:82.3
Sequence:162 | Start:7 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.4e-41 | Cond.E-value:1.9e-45 | Bit score:141.0
Sequence:163 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-42 | Cond.E-value:1.9e-46 | Bit score:144.8
Sequence:164 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-41 | Cond.E-value:1.6e-45 | Bit score:141.8
Sequence:165 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-26 | Cond.E-value:2.1e-30 | Bit score:93.6
Sequence:166 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-29 | Cond.E-value:1e-33 | Bit score:102.1
Sequence:167 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-30 | Cond.E-value:1.8e-34 | Bit score:106.0
Sequence:168 | Start:4 | End:134 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-22 | Cond.E-value:4.7e-27 | Bit score:80.5
Sequence:169 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.6e-31 | Cond.E-value:3.6e-35 | Bit score:107.7
Sequence:170 | Start:4 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.7e-31 | Cond.E-value:2.2e-35 | Bit score:107.4
Sequence:171 | Start:4 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-22 | Cond.E-value:1.6e-26 | Bit score:79.8
Sequence:172 | Start:4 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:9.5e-26 | Cond.E-value:7.5e-30 | Bit score:90.5
Sequence:173 | Start:8 | End:154 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.8e-30 | Cond.E-value:1.1e-34 | Bit score:105.2
Sequence:174 | Start:5 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-26 | Cond.E-value:1.7e-30 | Bit score:91.6
Sequence:175 | Start:30 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.7e-30 | Cond.E-value:6e-34 | Bit score:103.8
Sequence:176 | Start:13 | End:129 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-29 | Cond.E-value:4.1e-34 | Bit score:103.3
Sequence:177 | Start:6 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-30 | Cond.E-value:7.9e-35 | Bit score:105.6
Sequence:178 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.3e-26 | Cond.E-value:2.5e-30 | Bit score:91.1
Sequence:179 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.3e-26 | Cond.E-value:2.5e-30 | Bit score:91.1
Sequence:180 | Start:3 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.2e-26 | Cond.E-value:3.3e-30 | Bit score:91.7
Sequence:181 | Start:4 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.4e-29 | Cond.E-value:1.3e-33 | Bit score:101.7
Sequence:182 | Start:5 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.7e-28 | Cond.E-value:3.6e-32 | Bit score:98.0
Sequence:183 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.3e-28 | Cond.E-value:1.1e-31 | Bit score:97.4
Sequence:184 | Start:13 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.9e-30 | Cond.E-value:1.1e-34 | Bit score:105.1
Sequence:185 | Start:30 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.6e-30 | Cond.E-value:1.4e-34 | Bit score:104.8
Sequence:186 | Start:13 | End:129 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-29 | Cond.E-value:3.9e-34 | Bit score:103.4
Sequence:187 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.7e-23 | Cond.E-value:2.9e-27 | Bit score:82.1
Sequence:188 | Start:4 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.6e-24 | Cond.E-value:4.4e-28 | Bit score:84.8
Sequence:189 | Start:5 | End:147 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.5e-26 | Cond.E-value:3.5e-30 | Bit score:91.6
Sequence:190 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.5e-26 | Cond.E-value:5.9e-30 | Bit score:90.9
Sequence:191 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-27 | Cond.E-value:5.8e-32 | Bit score:96.4
Sequence:192 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.4e-27 | Cond.E-value:1.9e-31 | Bit score:95.7
Sequence:193 | Start:26 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-30 | Cond.E-value:1.9e-34 | Bit score:106.4
Sequence:194 | Start:4 | End:147 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-31 | Cond.E-value:5.5e-36 | Bit score:109.4
Sequence:195 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.4e-27 | Cond.E-value:1.9e-31 | Bit score:95.7
Sequence:196 | Start:30 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.5e-29 | Cond.E-value:2.2e-33 | Bit score:101.0
Sequence:197 | Start:5 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-30 | Cond.E-value:6.2e-34 | Bit score:103.7
Sequence:198 | Start:4 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.9e-23 | Cond.E-value:7e-27 | Bit score:80.9
Sequence:199 | Start:7 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.5e-40 | Cond.E-value:1.7e-44 | Bit score:136.9
Sequence:200 | Start:8 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4e-41 | Cond.E-value:4.7e-45 | Bit score:140.2
Sequence:201 | Start:4 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-19 | Cond.E-value:1.5e-23 | Bit score:70.8
Sequence:202 | Start:4 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-19 | Cond.E-value:1.5e-23 | Bit score:70.8
Sequence:203 | Start:4 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-19 | Cond.E-value:1.5e-23 | Bit score:70.8
Sequence:204 | Start:4 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-17 | Cond.E-value:1.9e-21 | Bit score:63.9
Sequence:205 | Start:4 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-17 | Cond.E-value:1.9e-21 | Bit score:63.9
Sequence:206 | Start:34 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.1e-27 | Cond.E-value:1.6e-31 | Bit score:95.9
Sequence:207 | Start:4 | End:130 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.7e-33 | Cond.E-value:1e-37 | Bit score:114.9
Sequence:208 | Start:3 | End:108 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.9e-15 | Cond.E-value:1.5e-19 | Bit score:57.2
Sequence:209 | Start:3 | End:108 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.3e-16 | Cond.E-value:2.1e-20 | Bit score:59.0
Sequence:210 | Start:34 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-27 | Cond.E-value:1.7e-31 | Bit score:95.8
Sequence:211 | Start:4 | End:130 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-33 | Cond.E-value:6.1e-38 | Bit score:115.7
Sequence:212 | Start:5 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3e-40 | Cond.E-value:2.3e-44 | Bit score:137.4
Sequence:213 | Start:7 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.1e-41 | Cond.E-value:7.2e-45 | Bit score:139.6
Sequence:214 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3e-41 | Cond.E-value:2.3e-45 | Bit score:140.6
Sequence:215 | Start:5 | End:139 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:9.8e-25 | Cond.E-value:3.8e-29 | Bit score:87.3
Sequence:216 | Start:4 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-26 | Cond.E-value:1.2e-30 | Bit score:93.1
Sequence:217 | Start:4 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-26 | Cond.E-value:8.3e-31 | Bit score:93.6
Sequence:218 | Start:12 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-23 | Cond.E-value:6.1e-28 | Bit score:83.4
Sequence:219 | Start:5 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-30 | Cond.E-value:8.4e-35 | Bit score:105.5
Sequence:220 | Start:4 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5e-22 | Cond.E-value:3.9e-26 | Bit score:78.5
Sequence:221 | Start:4 | End:140 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.5e-24 | Cond.E-value:6.5e-28 | Bit score:84.8
Sequence:222 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-24 | Cond.E-value:1.3e-28 | Bit score:87.1
Sequence:223 | Start:4 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.3e-23 | Cond.E-value:8.8e-28 | Bit score:82.9
Sequence:224 | Start:5 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.1e-24 | Cond.E-value:2.8e-28 | Bit score:84.5
Sequence:225 | Start:5 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-26 | Cond.E-value:8.7e-31 | Bit score:93.5
Sequence:226 | Start:5 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-22 | Cond.E-value:2.4e-26 | Bit score:79.2
Sequence:227 | Start:4 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.8e-28 | Cond.E-value:3.4e-32 | Bit score:97.1
Sequence:228 | Start:4 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.8e-28 | Cond.E-value:3.4e-32 | Bit score:97.1
Sequence:229 | Start:4 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-22 | Cond.E-value:3.1e-26 | Bit score:79.8
Sequence:230 | Start:10 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-32 | Cond.E-value:9.3e-37 | Bit score:112.8
Sequence:231 | Start:4 | End:155 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.5e-27 | Cond.E-value:9.8e-32 | Bit score:95.6
Sequence:232 | Start:5 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.1e-26 | Cond.E-value:5.5e-30 | Bit score:90.9
Sequence:233 | Start:4 | End:155 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.5e-27 | Cond.E-value:9.8e-32 | Bit score:95.6
Sequence:234 | Start:10 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-24 | Cond.E-value:1e-28 | Bit score:86.8
Sequence:235 | Start:4 | End:134 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.5e-32 | Cond.E-value:3.5e-36 | Bit score:111.0
Sequence:236 | Start:4 | End:125 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.1e-30 | Cond.E-value:3.2e-34 | Bit score:105.6
Sequence:237 | Start:2 | End:108 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-22 | Cond.E-value:4.2e-27 | Bit score:80.7
Sequence:238 | Start:10 | End:74 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-14 | Cond.E-value:3.7e-18 | Bit score:52.7
Sequence:239 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.8e-24 | Cond.E-value:1.1e-28 | Bit score:85.8
Sequence:240 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.8e-24 | Cond.E-value:3.5e-28 | Bit score:84.2
Sequence:241 | Start:26 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.7e-24 | Cond.E-value:1.8e-28 | Bit score:85.1
Sequence:242 | Start:6 | End:127 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.9e-21 | Cond.E-value:1.5e-25 | Bit score:76.6
Sequence:243 | Start:6 | End:127 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.9e-21 | Cond.E-value:1.5e-25 | Bit score:76.6
Sequence:244 | Start:16 | End:150 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-34 | Cond.E-value:2.7e-38 | Bit score:116.8
Sequence:245 | Start:4 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.4e-32 | Cond.E-value:1.5e-35 | Bit score:110.3
Sequence:246 | Start:18 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6e-34 | Cond.E-value:2.3e-38 | Bit score:117.0
Sequence:247 | Start:4 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.4e-32 | Cond.E-value:1.5e-35 | Bit score:110.3
Sequence:248 | Start:28 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-30 | Cond.E-value:7.8e-35 | Bit score:105.7
Sequence:249 | Start:4 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.2e-31 | Cond.E-value:1.6e-35 | Bit score:107.8
Sequence:250 | Start:4 | End:130 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-25 | Cond.E-value:1.1e-29 | Bit score:90.0
Sequence:251 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.2e-26 | Cond.E-value:1.2e-30 | Bit score:92.1
Sequence:252 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.8e-25 | Cond.E-value:2.7e-29 | Bit score:87.8
Sequence:253 | Start:13 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-21 | Cond.E-value:3.9e-26 | Bit score:77.5
Sequence:254 | Start:5 | End:147 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-25 | Cond.E-value:4.1e-30 | Bit score:90.4
Sequence:255 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.3e-39 | Cond.E-value:2.7e-43 | Bit score:134.5
Sequence:256 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-40 | Cond.E-value:6.4e-45 | Bit score:138.3
Sequence:257 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-40 | Cond.E-value:6.4e-45 | Bit score:138.3
Sequence:258 | Start:77 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-17 | Cond.E-value:1.3e-21 | Bit score:62.9
Sequence:259 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-26 | Cond.E-value:1.9e-30 | Bit score:93.0
Sequence:260 | Start:35 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:9e-14 | Cond.E-value:7.1e-18 | Bit score:51.8
Sequence:261 | Start:34 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.9e-14 | Cond.E-value:3.5e-18 | Bit score:51.8
Sequence:262 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.5e-40 | Cond.E-value:1.8e-44 | Bit score:136.8
Sequence:263 | Start:7 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-44 | Cond.E-value:3.1e-48 | Bit score:150.5
Sequence:264 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-42 | Cond.E-value:5.8e-47 | Bit score:144.9
Sequence:265 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.6e-40 | Cond.E-value:1.8e-44 | Bit score:136.8
Sequence:266 | Start:12 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.6e-41 | Cond.E-value:4.4e-45 | Bit score:139.8
Sequence:267 | Start:10 | End:139 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.8e-40 | Cond.E-value:2.3e-44 | Bit score:136.5
Sequence:268 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.6e-41 | Cond.E-value:1.8e-45 | Bit score:140.1
Sequence:269 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-42 | Cond.E-value:5.8e-47 | Bit score:144.9
Sequence:270 | Start:6 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:9.1e-25 | Cond.E-value:3.6e-29 | Bit score:87.4
Sequence:271 | Start:7 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-30 | Cond.E-value:8.2e-34 | Bit score:103.9
Sequence:272 | Start:4 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-32 | Cond.E-value:1.2e-36 | Bit score:112.5
Sequence:273 | Start:3 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.7e-31 | Cond.E-value:6.8e-36 | Bit score:109.1
Sequence:274 | Start:7 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.1e-42 | Cond.E-value:5.6e-46 | Bit score:142.7
Sequence:275 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.7e-39 | Cond.E-value:2.1e-43 | Bit score:134.3
Sequence:276 | Start:15 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-38 | Cond.E-value:1.2e-42 | Bit score:131.9
Sequence:277 | Start:1 | End:129 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.7e-34 | Cond.E-value:6.7e-38 | Bit score:117.1
Sequence:278 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.1e-42 | Cond.E-value:4.8e-46 | Bit score:142.9
Sequence:279 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-40 | Cond.E-value:8.5e-45 | Bit score:138.8
Sequence:280 | Start:12 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-39 | Cond.E-value:4.9e-44 | Bit score:135.4
Sequence:281 | Start:50 | End:119 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.9e-17 | Cond.E-value:1.5e-21 | Bit score:63.7
Sequence:282 | Start:21 | End:108 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-28 | Cond.E-value:5.6e-32 | Bit score:98.0
Sequence:283 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.6e-40 | Cond.E-value:2.6e-44 | Bit score:136.3
Sequence:284 | Start:7 | End:62 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.9e-09 | Cond.E-value:2.3e-13 | Bit score:36.2
Sequence:284 | Start:63 | End:109 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-13 | Cond.E-value:4.6e-18 | Bit score:51.4
Sequence:285 | Start:13 | End:136 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.7e-28 | Cond.E-value:2.2e-32 | Bit score:97.7
Sequence:286 | Start:7 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.2e-45 | Cond.E-value:4.9e-49 | Bit score:153.1
Sequence:287 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.7e-41 | Cond.E-value:2.2e-45 | Bit score:139.7
Sequence:288 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-39 | Cond.E-value:5.9e-44 | Bit score:135.2
Sequence:289 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-25 | Cond.E-value:2.8e-29 | Bit score:87.7
Sequence:290 | Start:7 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.5e-42 | Cond.E-value:2.7e-46 | Bit score:143.7
Sequence:291 | Start:15 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-41 | Cond.E-value:4e-45 | Bit score:140.9
Sequence:292 | Start:12 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-39 | Cond.E-value:5.9e-44 | Bit score:135.1
Sequence:293 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.1e-41 | Cond.E-value:8.3e-45 | Bit score:139.4
Sequence:294 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4e-41 | Cond.E-value:1.6e-45 | Bit score:140.2
Sequence:295 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.1e-41 | Cond.E-value:1.6e-45 | Bit score:140.2
Sequence:296 | Start:7 | End:45 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.2e-05 | Cond.E-value:4.9e-10 | Bit score:25.5
Sequence:296 | Start:50 | End:108 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8e-18 | Cond.E-value:3.1e-22 | Bit score:64.9
Sequence:297 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3e-41 | Cond.E-value:2.3e-45 | Bit score:140.7
Sequence:298 | Start:12 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-40 | Cond.E-value:1.2e-44 | Bit score:138.3
Sequence:299 | Start:9 | End:139 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.2e-42 | Cond.E-value:4.1e-46 | Bit score:143.1
